Date,PONumber,Name,Item,Paid,Qty,Sales Price,Amount
1/5/2017,3511,System Design & Integration,HDBT-SET-3,Paid,1,300,300
1/6/2017,95051-X,Heartland Video,HDMI-1-R,Paid,8,82.5,660
1/6/2017,95051-X,Heartland Video,LE-16HD,Paid,2,"5,997.00","11,994.00"
1/6/2017,95051-X,Heartland Video,LX-16HD,Paid,1,"6,420.00","6,420.00"
1/6/2017,95051-X,Heartland Video,SPP,Paid,3,140,420
1/16/2017,21565,BZB Express,DA-2HD,Paid,2,93.75,187.5
1/16/2017,21589,BZB Express,DVI-E,Paid,2,22.5,45
1/16/2017,21589,BZB Express,VGA-E,Paid,2,22.5,45
1/16/2017,DSI-127802-SO6625,Diversified Systems,VGA-1x2,Paid,10,112.5,"1,125.00"
1/16/2017,577287,Ford Audio-Video,HDMI-1x2-II,Paid,1,105,105
1/16/2017,4925,Gearhouse Broadcast,EVS-Set-1,Paid,1,595,595
1/18/2017,18429,Digital Resources Inc.,DE-4,Paid,1,"3,498.60","3,498.60"
1/18/2017,18429,Digital Resources Inc.,OG3-FR-CN-P,Paid,1,"1,645.00","1,645.00"
1/18/2017,18429,Digital Resources Inc.,PS-OG3,Paid,1,547.82,547.82
1/18/2017,18429,Digital Resources Inc.,SPP,Paid,2,140,280
1/18/2017,BMCourtHot,Murphy's Music,HDMI-1x4,Paid,3,240,720
1/19/2017,40144MFCM,Omega,DA-4HD,Paid,1,187.5,187.5
1/19/2017,40144MFCM,Omega,DA-8HD,Paid,1,262.5,262.5
1/20/2017,201-1289,IPR Services,OG-DA-HDTV-SDI-SET-2,Paid,10,"1,185.00","11,850.00"
1/20/2017,201-1289,IPR Services,OG-MiniQ-SET-1,Paid,4,"1,725.00","6,900.00"
1/23/2017,122477,Avidex,HDBT-SET-3,Paid,1,300,300
1/23/2017,KW170120029,B&H Photo - Video,US-3500,Paid,1,"1,125.00","1,125.00"
1/23/2017,18429,Digital Resources Inc.,OG-MiniDE-II-SET-1,Paid,8,"1,750.00","14,000.00"
1/23/2017,DSI-128816-110298,Diversified Systems,HDMI-1x2-II,Paid,1,105,105
1/23/2017,DSI-128834-110251,Diversified Systems,HDMI-1x2-II,Paid,2,105,210
1/26/2017,201-1299,IPR Services,OG-DA-HDTV-SDI-SET-2,Paid,7,"1,185.00","8,295.00"
3/9/2017,201-1299,IPR Services,OG-DA-HDTV-SDI-SET-2,Paid,-3,"1,185.00","-3,555.00"
1/26/2017,70206201,"Troxell Communications, Inc",HDBT-SET-1,Paid,1,375,375
1/27/2017,122291,Avidex,HDM2.0-1x4,Paid,1,300,300
1/27/2017,578354,Ford Audio-Video,MicroQ-S,Paid,1,746.25,746.25
1/27/2017,282735,VMI Video,HDMI-1-R,Paid,9,82.5,742.5
1/27/2017,282735,VMI Video,W-3x3,Paid,1,"3,000.00","3,000.00"
1/30/2017,46079,Lubbock Audio Video,Mi-16+,Paid,1,"2,625.00","2,625.00"
1/30/2017,282773,VMI Video,HDMI-E,Paid,5,30,150
,,,,,,,
2/1/2017,563879,AVI Systems,MiniDE-4,Paid,1,"1,125.00","1,125.00"
2/1/2017,122693,Avidex,Accessories:DC-48V-0.83A,Paid,2,50,100
2/1/2017,631093,Tower,HDMI-1x2-II,Paid,1,105,105
2/2/2017,631241,Tower,HDMI-SET-2,Paid,1,157.5,157.5
2/3/2017,631445,Tower,EDID-L-H,Paid,1,82.5,82.5
2/3/2017,631445,Tower,HDMI-E,Paid,5,30,150
2/6/2017,17-1883,AudiSee AV,W-3x3,Paid,1,"3,000.00","3,000.00"
2/6/2017,282808,VMI Video,HDMI-1-E,Paid,1,75,75
2/7/2017,21783,BZB Express,DA-2HD,Paid,4,93.75,375
2/7/2017,21792,BZB Express,DA-2HD,Paid,1,93.75,93.75
2/7/2017,631445,Tower,DA-HDTV-SDI,Paid,3,525,"1,575.00"
2/8/2017,2549619-001,Adorama Inc.,DB25-AA-UNBL,Paid,1,45,45
2/8/2017,ND17-14559,Beck Associates,OG-DA-HDTV-SDI-SET-1,Paid,10,588,"5,880.00"
2/8/2017,PO04821,Colorado Studios,EVS-1-R,Paid,2,300,600
2/8/2017,PO04821,Colorado Studios,EVS-Set-1,Paid,6,600,"3,600.00"
2/8/2017,DSI-129905-SO6741,Diversified Systems,USB-12m,Paid,6,33.75,202.5
2/8/2017,95390-Y,Heartland Video,OG-MiniQ-SET-1,Paid,1,"1,610.00","1,610.00"
2/8/2017,101646,"VTP/MTSU, USA",LX-12HD,Paid,1,"5,775.00","5,775.00"
2/8/2017,101646,"VTP/MTSU, USA",RPS-LE16,Paid,1,112,112
2/8/2017,101646,"VTP/MTSU, USA",SDI-OUT,Paid,1,280,280
2/9/2017,16413,Summit Integrated Systems,DA-HDTV-SDI,Paid,1,560,560
2/10/2017,31078,Burst,DA-4HD,Paid,1,187.5,187.5
2/10/2017,31078,Burst,DA-SDI-DE,Paid,1,637.5,637.5
2/10/2017,31078,Burst,DA-SDI-HDTV-II,Paid,1,247.5,247.5
2/13/2017,DSI-129905-SO6741,Diversified Systems,USB-12m,Paid,1,33.75,33.75
2/14/2017,21853,BZB Express,SCSI 68pin TO DB-9 Cable,Paid,1,40,40
2/14/2017,3535,System Design & Integration,HDBT-SET-4,Paid,2,450,900
2/15/2017,123045,Avidex,HDBT-SET-5-II,Paid,1,570,570
2/15/2017,21878,BZB Express,HDMI-E,Paid,1,30,30
2/15/2017,201-1307,IPR Services,OG-US-3500-SET-1,Paid,7,"1,350.00","9,450.00"
2/15/2017,282867,VMI Video,EDID-L-H,Paid,1,82.5,82.5
2/15/2017,282867,VMI Video,HDMI-E,Paid,3,30,90
2/20/2017,1342832,AVI-SPL,HDMI-1x2-II,Paid,1,105,105
2/20/2017,1343186,AVI-SPL,HDMI-SET-2,Paid,1,157.5,157.5
2/21/2017,123210,Avidex,HDBT-1-Rs-II-POE,Paid,2,225,450
2/21/2017,KW1702211102,B&H Photo - Video,OG-DA-HDTV-SDI-SET-1,Paid,2,630,"1,260.00"
2/21/2017,P1157754,VER,OPS-SDI-HDTV,Paid,30,400.2,"12,006.00"
2/22/2017,KW170221144,B&H Photo - Video,HDMI-E,Paid,5,30,150
2/27/2017,567323,AVI Systems,HDMI-1-R,Paid,1,82.5,82.5
2/27/2017,OIC021017,OIC - USA,T-OIC-802-FR,Paid,1,525,525
2/28/2017,21972,BZB Express,UNI-SW,Paid,1,225,225
2/28/2017,95815-X,Heartland Video,HDMI-1-R,Paid,8,82.5,660
2/28/2017,95815-X,Heartland Video,LE-32HD,Paid,1,"14,000.00","14,000.00"
2/28/2017,95828-S,Heartland Video,KVM-SET-10,Paid,10,350,"3,500.00"
,,,,,,,
3/1/2017,35303,PRECO,CP-16,Paid,1,630,630
3/1/2017,35303,PRECO,T#-64x8-4RU-H,Paid,1,"43,520.00","43,520.00"
3/2/2017,31172,Burst,DA-SDI-DE,Paid,1,637.5,637.5
